Date,Open,High,Low,Close,STMACD,STSIG,swH,swL,reddec,greenasc,crsUp,crsDn
0,8/10/2020 12:20:00 AM,0.033464000,0.033465000,0.033454000,0.033454000,4.17,-0.94,0.033327000,0.033226000,0.033137708,0.033265375,NaN,NaN
1,8/10/2020 12:15:00 AM,0.033510000,0.033510000,0.033463000,0.033465000,3.75,-2.22,0.033327000,0.033226000,NaN,NaN,0.033327000,NaN
2,8/10/2020 12:10:00 AM,0.033524000,0.033524000,0.033501000,0.033510000,2.97,-3.71,0.033327000,0.033226000,NaN,NaN,0.033327000,0.033226000
3,8/10/2020 12:05:00 AM,0.033496000,0.033583000,0.033460000,0.033529000,1.09,-5.38,0.033327000,NaN,NaN,NaN,0.033327000,NaN
4,8/10/2020 12:00:00 AM,0.033396000,0.033500000,0.033395000,0.033494000,-1.68,-7.00,0.033327000,0.033226000,NaN,NaN,0.033327000,0.033226000
5,8/9/2020 11:55:00 PM,0.033350000,0.033424000,0.033350000,0.033396000,-4.54,-8.32,NaN,0.033226000,NaN,NaN,NaN,0.033226000
6,8/9/2020 11:50:00 PM,0.033338000,0.033354000,0.033330000,0.033350000,-6.31,-9.27,0.033327000,0.033226000,NaN,0.033191000,0.033327000,0.033226000
7,8/9/2020 11:45:00 PM,0.033298000,0.033345000,0.033295000,0.033339000,-7.62,-10.01,0.033327000,0.033226000,NaN,0.033191000,0.033327000,0.033226000
8,8/9/2020 11:40:00 PM,0.033250000,0.033298000,0.033226000,0.033297000,-8.98,-10.60,0.033327000,0.033191000,NaN,0.033191000,0.033327000,NaN
9,8/9/2020 11:35:00 PM,0.033292000,0.033292000,0.033238000,0.033250000,-9.80,-11.01,0.033327000,0.033226000,NaN,0.033191000,0.033327000,0.033226000
10,8/9/2020 11:30:00 PM,0.033305000,0.033313000,0.033270000,0.033293000,-9.84,-11.31,NaN,0.033191000,NaN,0.033191000,NaN,NaN
11,8/9/2020 11:25:00 PM,0.033287000,0.033305000,0.033283000,0.033304000,-10.54,-11.68,0.033327000,NaN,NaN,NaN,0.033327000,NaN
12,8/9/2020 11:20:00 PM,0.033269000,0.033285000,0.033226000,0.033285000,-11.49,-11.96,NaN,0.033191000,NaN,0.033191000,NaN,NaN
13,8/9/2020 11:15:00 PM,0.033287000,0.033300000,0.033261000,0.033272000,-12.18,-12.08,NaN,0.033191000,NaN,0.033191000,NaN,NaN
14,8/9/2020 11:10:00 PM,0.033258000,0.033287000,0.033226000,0.033287000,-12.64,-12.05,NaN,0.033191000,NaN,0.033191000,NaN,NaN
15,8/9/2020 11:05:00 PM,0.033252000,0.033279000,0.033233000,0.033259000,-13.32,-11.91,NaN,0.033191000,NaN,0.033191000,NaN,NaN
16,8/9/2020 11:00:00 PM,0.033275000,0.033327000,0.033252000,0.033252000,-13.48,-11.55,NaN,0.033376000,NaN,NaN,NaN,NaN
17,8/9/2020 10:55:00 PM,0.033257000,0.033302000,0.033257000,0.033277000,-13.36,-11.07,NaN,0.033191000,NaN,0.033191000,NaN,NaN
18,8/9/2020 10:50:00 PM,0.033265000,0.033291000,0.033249000,0.033252000,-13.47,-10.50,NaN,0.033376000,NaN,NaN,NaN,NaN
19,8/9/2020 10:45:00 PM,0.033239000,0.033288000,0.033230000,0.033269000,-12.95,-9.75,NaN,0.033376000,NaN,NaN,NaN,NaN
20,8/9/2020 10:40:00 PM,0.033273000,0.033303000,0.033226000,0.033237000,-12.42,-8.95,NaN,NaN,NaN,NaN,NaN,NaN
21,8/9/2020 10:35:00 PM,0.033244000,0.033286000,0.033234000,0.033275000,-10.97,-8.09,NaN,0.033376000,NaN,NaN,NaN,NaN
22,8/9/2020 10:30:00 PM,0.033377000,0.033377000,0.033191000,0.033241000,-9.66,-7.37,NaN,0.033376000,NaN,NaN,NaN,NaN
23,8/9/2020 10:25:00 PM,0.033416000,0.033421000,0.033376000,0.033376000,-10.88,-6.79,NaN,0.033376000,NaN,NaN,NaN,NaN
24,8/9/2020 10:20:00 PM,0.033442000,0.033469000,0.033390000,0.033414000,-9.79,-5.77,0.033740000,0.033376000,0.033740000,NaN,NaN,NaN
25,8/9/2020 10:15:00 PM,0.033400000,0.033476000,0.033384000,0.033440000,-9.32,-4.77,0.033740000,NaN,0.033740000,NaN,NaN,NaN
26,8/9/2020 10:10:00 PM,0.033421000,0.033432000,0.033392000,0.033403000,-9.32,-3.63,0.033740000,0.033376000,0.033740000,NaN,NaN,NaN
27,8/9/2020 10:05:00 PM,0.033387000,0.033445000,0.033379000,0.033425000,-8.14,-2.21,0.033740000,NaN,0.033740000,NaN,NaN,NaN
28,8/9/2020 10:00:00 PM,0.033408000,0.033417000,0.033376000,0.033387000,-7.13,-0.73,0.033740000,NaN,0.033740000,NaN,NaN,NaN
29,8/9/2020 9:55:00 PM,0.033481000,0.033487000,0.033395000,0.033408000,-4.68,0.87,NaN,NaN,NaN,NaN,NaN,NaN
30,8/9/2020 9:50:00 PM,0.033465000,0.033495000,0.033460000,0.033487000,-2.07,2.26,0.033740000,NaN,0.033740000,NaN,NaN,NaN
31,8/9/2020 9:45:00 PM,0.033508000,0.033517000,0.033376000,0.033466000,-0.93,3.35,0.033740000,NaN,0.033740000,NaN,NaN,NaN
32,8/9/2020 9:40:00 PM,0.033512000,0.033534000,0.033479000,0.033518000,1.22,4.42,0.033740000,NaN,0.033740000,NaN,NaN,NaN
33,8/9/2020 9:35:00 PM,0.033476000,0.033534000,0.033476000,0.033515000,2.20,5.22,0.033740000,NaN,0.033740000,NaN,NaN,NaN
34,8/9/2020 9:30:00 PM,0.033567000,0.033586000,0.033473000,0.033473000,3.67,5.97,NaN,NaN,NaN,NaN,NaN,NaN
35,8/9/2020 9:25:00 PM,0.033563000,0.033572000,0.033516000,0.033566000,6.54,6.54,0.033740000,NaN,0.033740000,NaN,NaN,NaN
36,8/9/2020 9:20:00 PM,0.033618000,0.033619000,0.033561000,0.033565000,7.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,8/9/2020 9:15:00 PM,0.033584000,0.033640000,0.033584000,0.033618000,9.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,8/9/2020 9:10:00 PM,0.033664000,0.033669000,0.033578000,0.033584000,9.37,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,8/9/2020 9:05:00 PM,0.033700000,0.033709000,0.033656000,0.033664000,10.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,8/9/2020 9:00:00 PM,0.033664000,0.033740000,0.033663000,0.033701000,9.60,NaN,NaN,NaN,NaN,NaN,NaN,NaN

