Date,Open,High,Low,Close,STMACD,STSIG,swH,swL,reddec,greenasc,crsUp,crsDn
0,8/10/2020 12:20:00 AM,0.001918300,0.001919100,0.001918300,0.001919000,-2.30,-4.49,0.001920100,0.001913800,0.001919050,0.001914164,NaN,NaN
1,8/10/2020 12:15:00 AM,0.001917900,0.001918900,0.001915300,0.001918300,-2.77,-5.04,NaN,0.001913800,NaN,NaN,NaN,NaN
2,8/10/2020 12:10:00 AM,0.001918000,0.001919200,0.001913500,0.001919000,-3.01,-5.61,NaN,0.001913800,NaN,NaN,NaN,0.001913800
3,8/10/2020 12:05:00 AM,0.001921200,0.001922000,0.001916500,0.001918300,-3.59,-6.26,NaN,0.001913800,NaN,NaN,NaN,0.001913800
4,8/10/2020 12:00:00 AM,0.001918600,0.001922000,0.001915000,0.001921200,-3.97,-6.92,NaN,NaN,NaN,NaN,NaN,NaN
5,8/9/2020 11:55:00 PM,0.001917400,0.001921100,0.001914500,0.001918400,-5.70,-7.66,NaN,NaN,NaN,NaN,NaN,NaN
6,8/9/2020 11:50:00 PM,0.001917100,0.001919100,0.001915600,0.001917400,-6.56,-8.16,NaN,0.001912100,NaN,0.001912100,NaN,NaN
7,8/9/2020 11:45:00 PM,0.001916700,0.001917200,0.001915000,0.001916400,-7.11,-8.56,NaN,0.001912100,NaN,0.001912100,NaN,0.001912100
8,8/9/2020 11:40:00 PM,0.001915600,0.001918200,0.001913800,0.001916900,-7.25,-8.92,NaN,0.001912100,NaN,0.001912100,NaN,0.001912100
9,8/9/2020 11:35:00 PM,0.001920000,0.001920000,0.001915600,0.001916000,-7.56,-9.34,NaN,0.001912100,NaN,0.001912100,NaN,NaN
10,8/9/2020 11:30:00 PM,0.001917500,0.001920100,0.001915400,0.001919900,-7.43,-9.78,0.001925000,0.001912100,0.001925000,0.001912100,NaN,0.001912100
11,8/9/2020 11:25:00 PM,0.001915200,0.001920000,0.001914200,0.001917300,-8.93,-10.37,0.001925000,0.001912100,NaN,0.001912100,NaN,NaN
12,8/9/2020 11:20:00 PM,0.001917400,0.001918800,0.001914300,0.001915200,-9.53,-10.72,0.001925000,0.001912100,NaN,0.001912100,NaN,NaN
13,8/9/2020 11:15:00 PM,0.001919100,0.001919800,0.001914200,0.001918800,-9.21,-11.02,0.001925000,0.001912100,NaN,0.001912100,NaN,NaN
14,8/9/2020 11:10:00 PM,0.001917700,0.001919800,0.001915000,0.001919100,-9.66,-11.48,0.001925000,0.001912100,NaN,0.001912100,NaN,NaN
15,8/9/2020 11:05:00 PM,0.001916700,0.001919300,0.001915400,0.001917700,-10.95,-11.93,0.001925000,0.001912100,NaN,0.001912100,NaN,NaN
16,8/9/2020 11:00:00 PM,0.001916300,0.001919100,0.001915500,0.001917000,-11.84,-12.18,0.001925000,0.001912100,0.001925000,0.001912100,NaN,NaN
17,8/9/2020 10:55:00 PM,0.001915200,0.001918500,0.001914300,0.001916000,-12.51,-12.26,0.001925000,0.001912100,0.001926700,0.001912100,0.001925000,NaN
18,8/9/2020 10:50:00 PM,0.001916500,0.001916500,0.001913100,0.001915100,-12.75,-12.20,0.001925000,NaN,0.001926700,NaN,0.001925000,NaN
19,8/9/2020 10:45:00 PM,0.001915500,0.001918500,0.001914500,0.001916000,-12.50,-12.06,0.001925000,NaN,0.001926700,NaN,0.001925000,NaN
20,8/9/2020 10:40:00 PM,0.001917400,0.001917400,0.001912100,0.001915600,-12.38,-11.95,0.001925000,NaN,0.001926700,NaN,0.001925000,NaN
21,8/9/2020 10:35:00 PM,0.001914300,0.001918300,0.001913300,0.001917500,-11.88,-11.84,0.001925000,0.001920800,0.001926700,NaN,0.001925000,NaN
22,8/9/2020 10:30:00 PM,0.001917600,0.001918500,0.001912100,0.001914400,-11.87,-11.83,0.001926700,0.001920800,NaN,NaN,NaN,NaN
